source,target,time_duration,traffic_density,bandwidth
40.0535116.6100,40.0535116.6090,46.0,0.1501261643711963,1.0547131937333802
40.0535116.6090,40.0535116.6080,16.0,0.0522177963043534,0.6633891573661307
40.0535116.6060,40.0535116.6080,38.0,0.0620086331116085,0.603772212384024
40.0485116.6080,40.0485116.6100,19.0,0.0310020422331017,0.4362789476223863
40.0485116.6100,40.0380116.6100,62.0,0.0147507572885973,0.9301556365613982
40.0380116.6100,40.0310116.6040,60.0,0.0179015565708308,0.746235120911194
40.0310116.6040,40.0310116.5910,60.0,0.0150578558456795,0.3594146229891836
40.0310116.5470,40.0210116.5290,60.0,0.0088018611434899,0.3859946825164123
40.0210116.5290,40.0145116.5130,60.0,0.0108059245624657,0.4251181677723256
40.0210116.5290,40.0150116.5140,60.0,0.0115651891784482,0.3061590055081937
40.0145116.5130,40.0045116.5010,60.0,0.0110354368020498,0.5026123048758346
40.0045116.5010,40.0045116.4920,60.0,0.0217417914058145,0.7881563226501551
40.0045116.4920,39.9940116.4980,62.0,0.0135128010333684,0.7982294676843577
39.9940116.4980,39.9845116.5060,60.0,0.0132576395098033,0.8500911495238298
39.9845116.5060,39.9760116.5130,60.0,0.0149127355853698,0.9476972973740488
39.9760116.5130,39.9665116.5190,60.0,0.0142014712701842,0.9248704827801232
39.9665116.5190,39.9550116.5240,60.0,0.012365079252289,0.9778364440884758
39.9550116.5240,39.9465116.5310,62.0,0.0154079325519576,0.6935482316036475
39.9465116.5310,39.9370116.5360,60.0,0.0146312355473977,0.7191133141483478
39.9370116.5360,39.9260116.5360,60.0,0.0136260661170424,0.7381358466809428
39.9260116.5360,39.9155116.5360,60.0,0.0142749264083286,0.95251621738225
39.9155116.5360,39.9085116.5360,60.0,0.0214123896124669,0.3955984536425751
39.9085116.5360,39.9085116.5270,61.0,0.0220731474555412,0.4708016596787193
39.9085116.5270,39.9085116.5230,16.00000001742913,0.0130267755573545,0.3886051609465095
39.9085116.5230,39.9085116.5200,12.000000013561575,0.0130267755573545,0.3886051609465095
39.9085116.5170,39.9085116.5120,20.333333354578556,0.0132438884833104,0.5617615212138856
39.9085116.4990,39.9085116.4920,30.00000002298435,0.0139572595236072,0.5492691864158092
39.9085116.4740,39.9085116.4750,15.000000001366283,0.0488504082868657,0.8276956059851271
39.9085116.4720,39.9085116.4700,60.0,0.0977008165676066,0.9755298208608396
39.9085116.4700,39.9085116.4720,60.0,0.0977008165676066,0.7487659104051567
39.9085116.4760,39.9085116.4750,15.00000000098462,0.0488504082868657,0.8276956059851271
39.9085116.5390,39.9135116.5390,62.0,0.0309765903060299,0.6068318853483582
39.9135116.5390,39.9225116.5390,60.0,0.0166540808097217,0.385800930149637
39.9225116.5390,39.9330116.5390,60.0,0.0142749264083199,0.5321407672069771
39.9330116.5390,39.9440116.5340,60.0,0.0128670211784011,0.5180838977163286
39.9440116.5340,39.9530116.5250,60.0,0.0132170701839055,0.3513391419759614
39.9530116.5250,39.9635116.5250,62.0,0.0147507572885973,0.7752653723541846
39.9635116.5250,39.9720116.5160,60.0,0.0136925603249552,0.494106088051045
39.9720116.5160,39.9810116.5090,60.0,0.0143058311336788,0.6603792229657495
39.9810116.5090,39.9915116.5000,60.0,0.0119318304211662,0.5236216832356316
39.9915116.5000,40.0000116.5000,60.0,0.0176337326220561,0.6430183766179643
40.0000116.5000,40.0095116.5070,61.0,0.0139690730493149,0.3069204076638157
40.0095116.5070,40.0170116.5190,60.0,0.0126352971939528,0.7868702919774025
40.0170116.5190,40.0230116.5350,60.0,0.0109861250668746,0.5441544865597298
40.0230116.5350,40.0295116.5550,60.0,0.0090090875187193,0.4712090618677258
40.0295116.5550,40.0395116.5720,60.0,0.0091316160490797,0.8219541663428872
40.0295116.5550,40.0240116.5390,60.0,0.0111607650161417,0.676673532952597
40.0395116.5720,40.0470116.5800,62.0,0.0159954611732055,0.4504018414648598
40.0470116.5800,40.0540116.5800,60.0,0.0214123896124669,0.3453388328349247
40.0695116.5800,40.0770116.5870,60.0,0.0162629831945904,0.6265055029200651
40.0770116.5870,40.0770116.5820,60.0,0.0391768591727847,0.7334333620941246
40.0770116.5870,40.0770116.5840,61.0,0.06638301137097,0.4936542400957923
40.0770116.5820,40.0770116.5810,61.0,0.1991490341062173,0.997909703789041
40.0770116.5810,40.0665116.5810,60.0,0.0142749264083199,0.6354599596054663
40.0770116.5810,40.0710116.5810,60.0,0.0249811212145561,0.3569184026520839
40.0665116.5810,40.0665116.5820,61.0,0.1991183347565484,1.17903933940882
40.0665116.5810,40.0715116.5810,60.0,0.0299773454574483,0.4179061666621521
40.0665116.5820,40.0665116.5830,60.0,0.1958540997555559,0.7285808991798013
40.0665116.5820,40.0665116.5810,60.0,0.1958540997605394,0.6276932059237962
40.0665116.5830,40.0665116.5820,60.0,0.1958540997555559,1.0332551938282408
40.0715116.5810,40.0715116.5800,60.0,0.1958684768605126,0.6763300319518291
40.0715116.5800,40.0765116.5800,60.0,0.0299773454574864,0.4460503348697933
40.0765116.5800,40.0765116.5810,13.0,0.0424412858064506,0.9596244534044532
40.0765116.5810,40.0765116.5790,6.0,0.0097941428785662,0.4747353370218345
40.0765116.5790,40.0765116.5820,60.0,0.0652942858593797,0.3281955547725438
40.0765116.5820,40.0765116.5830,60.0,0.1958828575682338,0.5860854994801367
40.0765116.5830,40.0510116.5830,60.0,0.0058779108740157,0.4902286941457225
40.0510116.5830,40.0455116.5770,60.0,0.0209175437193581,0.6953920947638357
40.0455116.5770,40.0345116.5650,60.0,0.0104582518624023,0.574312477635633
40.0345116.5650,40.0280116.5500,61.0,0.0115468061878561,0.5258305826623363
40.0280116.5500,40.0220116.5320,60.0,0.0099704983563315,0.8997000009969043
40.0220116.5320,40.0155116.5140,60.0,0.0098346852668572,0.6151960038280965
40.0220116.5320,40.0270116.5460,60.0,0.0126706833071519,0.3501831204464531
40.0155116.5140,40.0055116.5020,60.0,0.011035510836628,0.5403667350237168
40.0055116.5020,39.9955116.4920,60.0,0.0118987122368941,0.8085211158992919
40.0055116.5020,39.9965116.4930,60.0,0.0132208271718576,0.7463996191565662
39.9955116.4920,39.9870116.4820,61.0,0.013316596564563,0.7938572645288625
